,state,fips,cases,deaths,employed-sugar-intake-daily,Winning Party_x,Democrats_x,Republicans_x,Winning Party_y,Democrats_y,Republicans_y
10581,West Virginia,54,162111,2807,46.1,Republicans,False,True,Republicans,False,True
10582,Wisconsin,55,675152,7923,29.7,Republicans,False,True,Republicans,False,True
10583,Alaska,2,69886,352,26.2,Republicans,False,True,Republicans,False,True
10584,Arizona,4,883037,17673,33.0,Republicans,False,True,Republicans,False,True
10585,California,6,3794373,62965,22.9,Democrats,True,False,Democrats,True,False
10586,Connecticut,9,347891,8246,18.9,Democrats,True,False,Democrats,True,False
10587,District of Columbia,11,49068,1136,18.5,Democrats,True,False,Democrats,True,False
10588,Indiana,18,749471,13661,35.9,Republicans,False,True,Republicans,False,True
10589,Iowa,19,371863,6067,34.2,Republicans,False,True,Republicans,False,True
10590,Kansas,20,316626,5121,32.4,Republicans,False,True,Republicans,False,True
10591,Kentucky,21,461450,7136,43.4,Republicans,False,True,Republicans,False,True
10592,Maryland,24,460552,9630,28.0,Democrats,True,False,Democrats,True,False
10593,Minnesota,27,602227,7538,23.5,Democrats,True,False,Democrats,True,False
10594,Mississippi,28,318189,7325,49.7,Republicans,False,True,Republicans,False,True
10595,Nebraska,31,223906,2512,31.1,Republicans,False,True,Republicans,False,True
10596,New Jersey,34,1017337,26265,22.7,Democrats,True,False,Democrats,True,False
10597,New York,36,2102760,52840,23.1,Democrats,True,False,Democrats,True,False
10598,North Carolina,37,1005366,13168,42.1,Republicans,False,True,Republicans,False,True
10599,Ohio,39,1104001,19980,32.0,Republicans,False,True,Republicans,False,True
10600,Oklahoma,40,453552,7316,46.5,Republicans,False,True,Republicans,False,True
10601,South Carolina,45,593727,9744,42.0,Republicans,False,True,Republicans,False,True
10602,Utah,49,407183,2311,30.3,Republicans,False,True,Republicans,False,True
10603,Vermont,50,24252,256,16.7,Democrats,True,False,Democrats,True,False
10604,West Virginia,54,162232,2813,46.1,Republicans,False,True,Republicans,False,True
10605,Wisconsin,55,675363,7954,29.7,Republicans,False,True,Republicans,False,True
10606,Alaska,2,69886,352,26.2,Republicans,False,True,Republicans,False,True
10607,Arizona,4,883314,17698,33.0,Republicans,False,True,Republicans,False,True
10608,California,6,3795202,63000,22.9,Democrats,True,False,Democrats,True,False
10609,Connecticut,9,347891,8246,18.9,Democrats,True,False,Democrats,True,False
10610,District of Columbia,11,49068,1136,18.5,Democrats,True,False,Democrats,True,False
10611,Indiana,18,749890,13685,35.9,Republicans,False,True,Republicans,False,True
10612,Iowa,19,371956,6068,34.2,Republicans,False,True,Republicans,False,True
10613,Kansas,20,316626,5121,32.4,Republicans,False,True,Republicans,False,True
10614,Kentucky,21,461712,7140,43.4,Republicans,False,True,Republicans,False,True
10615,Maryland,24,460684,9639,28.0,Democrats,True,False,Democrats,True,False
10616,Minnesota,27,602521,7554,23.5,Democrats,True,False,Democrats,True,False
10617,Mississippi,28,318189,7325,49.7,Republicans,False,True,Republicans,False,True
10618,Nebraska,31,223906,2512,31.1,Republicans,False,True,Republicans,False,True
10619,New Jersey,34,1017695,26273,22.7,Democrats,True,False,Democrats,True,False
10620,New York,36,2103612,52852,23.1,Democrats,True,False,Democrats,True,False
10621,North Carolina,37,1005366,13168,42.1,Republicans,False,True,Republicans,False,True
